237517311,Indie,2000
238077506,Indie,2001
249454386,Indie,2002
218180776,Indie,2003
251641110,Indie,2004
237305227,Indie,2005
235077199,Indie,2006
261484159,Indie,2007
209826325,Indie,2008
234144321,Indie,2009
234977941,Indie,2010
251555416,Indie,2011
243302394,Indie,2012
221794298,Indie,2013
241472471,Indie,2014
225512883,Indie,2015
225975580,Indie,2016
215213702,Indie,2017
228215697,Indie,2018
239076757,Indie,2019
213863746,Pop,2000
181316320,Pop,2001
196411382,Pop,2002
191866654,Pop,2003
226132522,Pop,2004
198138547,Pop,2005
189354435,Pop,2006
199780651,Pop,2007
208237630,Pop,2008
193130697,Pop,2009
195385826,Pop,2010
187954648,Pop,2011
202099256,Pop,2012
186747242,Pop,2013
195107256,Pop,2014
188725888,Pop,2015
190211785,Pop,2016
175253045,Pop,2017
186250952,Pop,2018
210669517,Pop,2019
135960463,Rap,2000
159087072,Rap,2001
148845970,Rap,2002
145803002,Rap,2003
157502307,Rap,2004
135667282,Rap,2005
148318165,Rap,2006
137031879,Rap,2007
146529527,Rap,2008
122605174,Rap,2009
151503172,Rap,2010
147959076,Rap,2011
136746997,Rap,2012
150104004,Rap,2013
137591321,Rap,2014
150884472,Rap,2015
134891284,Rap,2016
157857997,Rap,2017
119660550,Rap,2018
164364472,Rap,2019
103961878,Latino,2000
86238457,Latino,2001
91343368,Latino,2002
97356492,Latino,2003
102754850,Latino,2004
90966272,Latino,2005
102639081,Latino,2006
94670132,Latino,2007
105517382,Latino,2008
92988499,Latino,2009
107188054,Latino,2010
95284590,Latino,2011
94744777,Latino,2012
87390708,Latino,2013
97880738,Latino,2014
89865172,Latino,2015
105629023,Latino,2016
112369613,Latino,2017
102205683,Latino,2018
92137242,Latino,2019
98494327,Pop-Rock,2000
91298520,Pop-Rock,2001
97272472,Pop-Rock,2002
99562188,Pop-Rock,2003
86593973,Pop-Rock,2004
103674815,Pop-Rock,2005
110919089,Pop-Rock,2006
104507707,Pop-Rock,2007
90466205,Pop-Rock,2008
100602367,Pop-Rock,2009
108160638,Pop-Rock,2010
91934423,Pop-Rock,2011
91358312,Pop-Rock,2012
98917437,Pop-Rock,2013
93209381,Pop-Rock,2014
80011513,Pop-Rock,2015
109423329,Pop-Rock,2016
95505175,Pop-Rock,2017
86518990,Pop-Rock,2018
100571613,Pop-Rock,2019
